type,state,statecode,c19oName,apiName
d,telangana,TG,Adilabad,adilabad
d,madhya_pradesh,MP,Agar Malwa,agar_malwa
d,uttar_pradesh,UP,Agra,agra
d,gujarat,GJ,Ahmedabad,ahmadabad
d,maharashtra,MH,Ahmednagar,ahmadnagar
d,mizoram,MZ,Aizawl,aizawl
d,rajasthan,RJ,Ajmer,ajmer
d,maharashtra,MH,Akola,akola
d,kerala,KL,Alappuzha,alappuzha
d,uttar_pradesh,UP,Aligarh,aligarh
d,west_bengal,WB,Alipurduar,alipurduar
d,madhya_pradesh,MP,Alirajpur,alirajpur
d,uttarakhand,UT,Almora,almora
d,rajasthan,RJ,Alwar,alwar
d,haryana,HR,Ambala,ambala
d,uttar_pradesh,UP,Ambedkar Nagar,ambedkar_nagar
d,uttar_pradesh,UP,Amethi,amethi
d,maharashtra,MH,Amravati,amravati
d,gujarat,GJ,Amreli,amreli
d,punjab,PB,Amritsar,amritsar
d,uttar_pradesh,UP,Amroha,amroha
d,gujarat,GJ,Anand,anand
d,andhra_pradesh,AD,Anantapur,anantapur
d,jammu_and_kashmir,JK,Anantnag,anantnag
u,andaman_and_nicobar,AN,Andaman and Nicobar Islands,andaman_and_nicobar
s,andhra_pradesh,AP,Andhra Pradesh,andhra_pradesh
d,arunachal_pradesh,AR,Angul,anjaw
d,odisha,OR,Anjaw,anugul
d,madhya_pradesh,MP,Anuppur,anuppur
d,bihar,BR,Araria,araria
d,gujarat,GJ,Aravalli,aravalli
d,tamil_nadu,TN,Ariyalur,ariyalur
s,arunachal_pradesh,AR,Arunachal Pradesh,arunachal_pradesh
d,bihar,BR,Arwal,arwal
d,madhya_pradesh,MP,Ashoknagar,ashoknagar
s,assam,AS,Assam,assam
d,uttar_pradesh,UP,Auraiya,auraiya
d,bihar,BR,Aurangabad,aurangabadbr
d,maharashtra,MH,Aurangabad,aurangabad
d,uttar_pradesh,UP,Ayodhya,faizabad
d,uttar_pradesh,UP,Azamgarh,azamgarh
d,karnataka,KA,Bagalkote,bagalkot
d,uttarakhand,UT,Bageshwar,bageshwar
d,uttar_pradesh,UP,Baghpat,baghpat
d,uttar_pradesh,UP,Bahraich,bahraich
d,assam,AS,Baksa,baksa
d,madhya_pradesh,MP,Balaghat,balaghat
d,odisha,OR,Balangir,balangir
d,odisha,OR,Balasore,baleshwar
d,karnataka,KA,Ballari,bellary
d,uttar_pradesh,UP,Ballia,ballia
d,chhattisgarh,CT,Balod,balod
d,chhattisgarh,CT,Baloda Bazar,baloda_bazar
d,chhattisgarh,CT,Balrampur,balrampur
d,uttar_pradesh,UP,Balrampur,balrampurct
d,chhattisgarh,CT,Bametara,bemetara
d,gujarat,GJ,Banaskantha,banas_kantha
d,uttar_pradesh,UP,Banda,banda
d,jammu_and_kashmir,JK,Bandipora,bandipore
d,bihar,BR,Banka,banka
d,west_bengal,WB,Bankura,bankura
d,rajasthan,RJ,Banswara,banswara
d,uttar_pradesh,UP,Barabanki,barabanki
d,jammu_and_kashmir,JK,Baramulla,baramulla
d,rajasthan,RJ,Baran,baran
d,uttar_pradesh,UP,Bareilly,bareilly
d,odisha,OR,Bargarh,bargarh
d,rajasthan,RJ,Barmer,barmer
d,punjab,PB,Barnala,barnala
d,assam,AS,Barpeta,barpeta
d,madhya_pradesh,MP,Barwani,barwani
d,chhattisgarh,CT,Bastar,bastar
d,uttar_pradesh,UP,Basti,basti
d,punjab,PB,Bathinda,bathinda
d,maharashtra,MH,Beed,bid
d,bihar,BR,Begusarai,begusarai
d,karnataka,KA,Belagavi,belgaum
d,karnataka,KA,Bengaluru Rural,bangalore_rural
d,karnataka,KA,Bengaluru Urban,bangalore
d,madhya_pradesh,MP,Betul,betul
d,uttar_pradesh,UP,Bhadohi,sant_ravi_das_nagar
d,telangana,TG,Bhadradri Kothagudem,bhadradri_kothagudem
d,odisha,OR,Bhadrak,bhadrak
d,bihar,BR,Bhagalpur,bhagalpur
d,maharashtra,MH,Bhandara,bhandara
d,rajasthan,RJ,Bharatpur,bharatpur
d,gujarat,GJ,Bharuch,bharuch
d,gujarat,GJ,Bhavnagar,bhavnagar
d,rajasthan,RJ,Bhilwara,bhilwara
d,madhya_pradesh,MP,Bhind,bhind
d,haryana,HR,Bhiwani,bhiwani
