name,type,state,statecode,c19oName,apiName
Adilabad,d,telangana,TG,Adilabad,adilabad
Agar Malwa,d,madhya_pradesh,MP,Agar Malwa,agar_malwa
Agra,d,uttar_pradesh,UP,Agra,agra
Ahmedabad,d,gujarat,GJ,Ahmedabad,ahmadabad
Ahmednagar,d,maharashtra,MH,Ahmednagar,ahmadnagar
Aizawl,d,mizoram,MZ,Aizawl,aizawl
Ajmer,d,rajasthan,RJ,Ajmer,ajmer
Akola,d,maharashtra,MH,Akola,akola
Alappuzha,d,kerala,KL,Alappuzha,alappuzha
Aligarh,d,uttar_pradesh,UP,Aligarh,aligarh
Alipurduar,d,west_bengal,WB,Alipurduar,alipurduar
Alirajpur,d,madhya_pradesh,MP,Alirajpur,alirajpur
Almora,d,uttarakhand,UT,Almora,almora
Alwar,d,rajasthan,RJ,Alwar,alwar
Ambala,d,haryana,HR,Ambala,ambala
Ambedkar Nagar,d,uttar_pradesh,UP,Ambedkar Nagar,ambedkar_nagar
Amethi,d,uttar_pradesh,UP,Amethi,amethi
Amravati,d,maharashtra,MH,Amravati,amravati
Amreli,d,gujarat,GJ,Amreli,amreli
Amritsar,d,punjab,PB,Amritsar,amritsar
Amroha,d,uttar_pradesh,UP,Amroha,amroha
Anand,d,gujarat,GJ,Anand,anand
Anantapur,d,andhra_pradesh,AD,Anantapur,anantapur
Anantnag,d,jammu_and_kashmir,JK,Anantnag,anantnag
Andaman and Nicobar Islands,u,andaman_and_nicobar,AN,Andaman and Nicobar Islands,andaman_and_nicobar
Andhra Pradesh,s,andhra_pradesh,AP,Andhra Pradesh,andhra_pradesh
Angul,d,arunachal_pradesh,AR,Angul,anjaw
Anjaw,d,odisha,OR,Anjaw,anugul
Anuppur,d,madhya_pradesh,MP,Anuppur,anuppur
Araria,d,bihar,BR,Araria,araria
Aravalli,d,gujarat,GJ,Aravalli,aravalli
Ariyalur,d,tamil_nadu,TN,Ariyalur,ariyalur
Arunachal Pradesh,s,arunachal_pradesh,AR,Arunachal Pradesh,arunachal_pradesh
Arwal,d,bihar,BR,Arwal,arwal
Ashoknagar,d,madhya_pradesh,MP,Ashoknagar,ashoknagar
Assam,s,assam,AS,Assam,assam
Auraiya,d,uttar_pradesh,UP,Auraiya,auraiya
Aurangabad,d,bihar,BR,Aurangabad,aurangabadbr
Aurangabad,d,maharashtra,MH,Aurangabad,aurangabad
Ayodhya,d,uttar_pradesh,UP,Ayodhya,faizabad
Azamgarh,d,uttar_pradesh,UP,Azamgarh,azamgarh
Bagalkote,d,karnataka,KA,Bagalkote,bagalkot
Bageshwar,d,uttarakhand,UT,Bageshwar,bageshwar
Baghpat,d,uttar_pradesh,UP,Baghpat,baghpat
Bahraich,d,uttar_pradesh,UP,Bahraich,bahraich
Baksa,d,assam,AS,Baksa,baksa
Balaghat,d,madhya_pradesh,MP,Balaghat,balaghat
Balangir,d,odisha,OR,Balangir,balangir
Balasore,d,odisha,OR,Balasore,baleshwar
Ballari,d,karnataka,KA,Ballari,bellary
Ballia,d,uttar_pradesh,UP,Ballia,ballia
Balod,d,chhattisgarh,CT,Balod,balod
Baloda Bazar,d,chhattisgarh,CT,Baloda Bazar,baloda_bazar
Balrampur,d,chhattisgarh,CT,Balrampur,balrampur
Balrampur,d,uttar_pradesh,UP,Balrampur,balrampurct
Bametara,d,chhattisgarh,CT,Bametara,bemetara
Banaskantha,d,gujarat,GJ,Banaskantha,banas_kantha
Banda,d,uttar_pradesh,UP,Banda,banda
Bandipora,d,jammu_and_kashmir,JK,Bandipora,bandipore
Banka,d,bihar,BR,Banka,banka
Bankura,d,west_bengal,WB,Bankura,bankura
Banswara,d,rajasthan,RJ,Banswara,banswara
Barabanki,d,uttar_pradesh,UP,Barabanki,barabanki
Baramulla,d,jammu_and_kashmir,JK,Baramulla,baramulla
Baran,d,rajasthan,RJ,Baran,baran
Bareilly,d,uttar_pradesh,UP,Bareilly,bareilly
Bargarh,d,odisha,OR,Bargarh,bargarh
Barmer,d,rajasthan,RJ,Barmer,barmer
Barnala,d,punjab,PB,Barnala,barnala
Barpeta,d,assam,AS,Barpeta,barpeta
Barwani,d,madhya_pradesh,MP,Barwani,barwani
Bastar,d,chhattisgarh,CT,Bastar,bastar
Basti,d,uttar_pradesh,UP,Basti,basti
Bathinda,d,punjab,PB,Bathinda,bathinda
Beed,d,maharashtra,MH,Beed,bid
Begusarai,d,bihar,BR,Begusarai,begusarai
Belagavi,d,karnataka,KA,Belagavi,belgaum
Bengaluru Rural,d,karnataka,KA,Bengaluru Rural,bangalore_rural
Bengaluru Urban,d,karnataka,KA,Bengaluru Urban,bangalore
Betul,d,madhya_pradesh,MP,Betul,betul
Bhadohi,d,uttar_pradesh,UP,Bhadohi,sant_ravi_das_nagar
Bhadradri Kothagudem,d,telangana,TG,Bhadradri Kothagudem,bhadradri_kothagudem
Bhadrak,d,odisha,OR,Bhadrak,bhadrak
Bhagalpur,d,bihar,BR,Bhagalpur,bhagalpur
Bhandara,d,maharashtra,MH,Bhandara,bhandara
Bharatpur,d,rajasthan,RJ,Bharatpur,bharatpur
Bharuch,d,gujarat,GJ,Bharuch,bharuch
Bhavnagar,d,gujarat,GJ,Bhavnagar,bhavnagar
Bhilwara,d,rajasthan,RJ,Bhilwara,bhilwara
Bhind,d,madhya_pradesh,MP,Bhind,bhind
Bhiwani,d,haryana,HR,Bhiwani,bhiwani
Bhojpur,d,bihar,BR,Bhojpur,bhojpur
Bhopal,d,madhya_pradesh,MP,Bhopal,bhopal
Bidar,d,karnataka,KA,Bidar,bidar
Bihar,s,bihar,BR,Bihar,bihar
Bijapur,d,chhattisgarh,CT,Bijapur,bijapur
Bijnor,d,uttar_pradesh,UP,Bijnor,bijnor
Bikaner,d,rajasthan,RJ,Bikaner,bikaner
Bilaspur,d,himachal_pradesh,HP,Bilaspur,bilaspur
Bilaspur,d,chhattisgarh,CT,Bilaspur,bilaspurct
Birbhum,d,west_bengal,WB,Birbhum,birbhum
Bishnupur,d,manipur,MN,Bishnupur,bishnupur
Biswanath,d,assam,AS,Biswanath,sonitpur
Bokaro,d,jharkhand,JH,Bokaro,bokaro
Bongaigaon,d,assam,AS,Bongaigaon,bongaigaon
Botad,d,gujarat,GJ,Botad,botad
Boudh,d,odisha,OR,Boudh,bauda
