name,type,state,statecode,apiName
Adilabad,d,telangana,TG,adilabad
Agar Malwa,d,madhya_pradesh,MP,agar_malwa
Agra,d,uttar_pradesh,UP,agra
Ahmedabad,d,gujarat,GJ,ahmadabad
Ahmednagar,d,maharashtra,MH,ahmadnagar
Aizawl,d,mizoram,MZ,aizawl
Ajmer,d,rajasthan,RJ,ajmer
Akola,d,maharashtra,MH,akola
Alappuzha,d,kerala,KL,alappuzha
Aligarh,d,uttar_pradesh,UP,aligarh
Alipurduar,d,west_bengal,WB,alipurduar
Alirajpur,d,madhya_pradesh,MP,alirajpur
Almora,d,uttarakhand,UT,almora
Alwar,d,rajasthan,RJ,alwar
Ambala,d,haryana,HR,ambala
Ambedkar Nagar,d,uttar_pradesh,UP,ambedkar_nagar
Amethi,d,uttar_pradesh,UP,amethi
Amravati,d,maharashtra,MH,amravati
Amreli,d,gujarat,GJ,amreli
Amritsar,d,punjab,PB,amritsar
Amroha,d,uttar_pradesh,UP,amroha
Anand,d,gujarat,GJ,anand
Anantapur,d,andhra_pradesh,AD,anantapur
Anantnag,d,jammu_and_kashmir,JK,anantnag
Andaman and Nicobar Islands,u,andaman_and_nicobar,AN,andaman_and_nicobar
Andhra Pradesh,s,andhra_pradesh,AP,andhra_pradesh
Angul,d,arunachal_pradesh,AR,anjaw
Anjaw,d,odisha,OR,anugul
Anuppur,d,madhya_pradesh,MP,anuppur
Araria,d,bihar,BR,araria
Aravalli,d,gujarat,GJ,aravalli
Ariyalur,d,tamil_nadu,TN,ariyalur
Arunachal Pradesh,s,arunachal_pradesh,AR,arunachal_pradesh
Arwal,d,bihar,BR,arwal
Ashoknagar,d,madhya_pradesh,MP,ashoknagar
Assam,s,assam,AS,assam
Auraiya,d,uttar_pradesh,UP,auraiya
Aurangabad,d,bihar,BR,aurangabadbr
Aurangabad,d,maharashtra,MH,aurangabad
Ayodhya,d,uttar_pradesh,UP,faizabad
Azamgarh,d,uttar_pradesh,UP,azamgarh
Bagalkote,d,karnataka,KA,bagalkot
Bageshwar,d,uttarakhand,UT,bageshwar
Baghpat,d,uttar_pradesh,UP,baghpat
Bahraich,d,uttar_pradesh,UP,bahraich
Baksa,d,assam,AS,baksa
Balaghat,d,madhya_pradesh,MP,balaghat
Balangir,d,odisha,OR,balangir
Balasore,d,odisha,OR,baleshwar
Ballari,d,karnataka,KA,bellary
Ballia,d,uttar_pradesh,UP,ballia
Balod,d,chhattisgarh,CT,balod
Baloda Bazar,d,chhattisgarh,CT,baloda_bazar
Balrampur,d,chhattisgarh,CT,balrampur
Balrampur,d,uttar_pradesh,UP,balrampurct
Bametara,d,chhattisgarh,CT,bemetara
Banaskantha,d,gujarat,GJ,banas_kantha
Banda,d,uttar_pradesh,UP,banda
Bandipora,d,jammu_and_kashmir,JK,bandipore
Banka,d,bihar,BR,banka
Bankura,d,west_bengal,WB,bankura
Banswara,d,rajasthan,RJ,banswara
Barabanki,d,uttar_pradesh,UP,barabanki
Baramulla,d,jammu_and_kashmir,JK,baramulla
Baran,d,rajasthan,RJ,baran
Bareilly,d,uttar_pradesh,UP,bareilly
Bargarh,d,odisha,OR,bargarh
Barmer,d,rajasthan,RJ,barmer
Barnala,d,punjab,PB,barnala
Barpeta,d,assam,AS,barpeta
Barwani,d,madhya_pradesh,MP,barwani
Bastar,d,chhattisgarh,CT,bastar
Basti,d,uttar_pradesh,UP,basti
Bathinda,d,punjab,PB,bathinda
Beed,d,maharashtra,MH,bid
Begusarai,d,bihar,BR,begusarai
Belagavi,d,karnataka,KA,belgaum
Bengaluru Rural,d,karnataka,KA,bangalore_rural
Bengaluru Urban,d,karnataka,KA,bangalore
Betul,d,madhya_pradesh,MP,betul
Bhadohi,d,uttar_pradesh,UP,sant_ravi_das_nagar
Bhadradri Kothagudem,d,telangana,TG,bhadradri_kothagudem
Bhadrak,d,odisha,OR,bhadrak
Bhagalpur,d,bihar,BR,bhagalpur
Bhandara,d,maharashtra,MH,bhandara
Bharatpur,d,rajasthan,RJ,bharatpur
Bharuch,d,gujarat,GJ,bharuch
Bhavnagar,d,gujarat,GJ,bhavnagar
Bhilwara,d,rajasthan,RJ,bhilwara
Bhind,d,madhya_pradesh,MP,bhind
Bhiwani,d,haryana,HR,bhiwani
Bhojpur,d,bihar,BR,bhojpur
Bhopal,d,madhya_pradesh,MP,bhopal
Bidar,d,karnataka,KA,bidar
Bihar,s,bihar,BR,bihar
Bijapur,d,chhattisgarh,CT,bijapur
Bijnor,d,uttar_pradesh,UP,bijnor
Bikaner,d,rajasthan,RJ,bikaner
Bilaspur,d,himachal_pradesh,HP,bilaspur
Bilaspur,d,chhattisgarh,CT,bilaspurct
Birbhum,d,west_bengal,WB,birbhum
Bishnupur,d,manipur,MN,bishnupur
Biswanath,d,assam,AS,sonitpur
Bokaro,d,jharkhand,JH,bokaro
Bongaigaon,d,assam,AS,bongaigaon
Botad,d,gujarat,GJ,botad
Boudh,d,odisha,OR,bauda
Budaun,d,uttar_pradesh,UP,budaun
Budgam,d,jammu_and_kashmir,JK,badgam
Bulandshahr,d,uttar_pradesh,UP,bulandshahr
Buldhana,d,maharashtra,MH,buldana
Bundi,d,rajasthan,RJ,bundi
Burhanpur,d,madhya_pradesh,MP,burhanpur
Buxar,d,bihar,BR,buxar
Cachar,d,assam,AS,cachar
Central Delhi,d,nct_of_delhi,DL,west
Chamarajanagara,d,karnataka,KA,chamrajnagar
Chamba,d,himachal_pradesh,HP,chamba
Chamoli,d,uttarakhand,UT,chamoli
Champawat,d,uttarakhand,UT,champawat
Champhai,d,mizoram,MZ,champhai
Chandauli,d,uttar_pradesh,UP,chandauli
Chandel,d,manipur,MN,chandel
Chandigarh,d,chandigarh,CH,chandigarh
Chandigarh,u,chandigarh,CH,chandigarh
Chandrapur,d,maharashtra,MH,chandrapur
Changlang,d,arunachal_pradesh,AR,changlang
Charaideo,d,assam,AS,sivasagar
Charkhi Dadri,d,haryana,HR,bhiwani
Chatra,d,jharkhand,JH,chatra
Chengalpattu,d,tamil_nadu,TN,kancheepuram
Chennai,d,tamil_nadu,TN,chennai
Chhatarpur,d,madhya_pradesh,MP,chhatarpur
Chhattisgarh,s,chhattisgarh,CT,chhattisgarh
Chhindwara,d,madhya_pradesh,MP,chhindwara
Chhota Udaipur,d,gujarat,GJ,chhota_udaipur
Chikkaballapura,d,karnataka,KA,chikballapura
Chikkamagaluru,d,karnataka,KA,chikmagalur
Chirang,d,assam,AS,chirang
Chitradurga,d,karnataka,KA,chitradurga
Chitrakoot,d,uttar_pradesh,UP,chitrakoot
Chittoor,d,andhra_pradesh,AD,chittoor
Chittorgarh,d,rajasthan,RJ,chittaurgarh
Churachandpur,d,manipur,MN,churachandpur
Churu,d,rajasthan,RJ,churu
Coimbatore,d,tamil_nadu,TN,coimbatore
Cooch Behar,d,west_bengal,WB,koch_bihar
Cuddalore,d,tamil_nadu,TN,cuddalore
Cuttack,d,odisha,OR,cuttack
Dadra and Nagar Haveli,d,dadra_and_nagar_haveli,DN,dadra_and_nagar_haveli
Dahod,d,gujarat,GJ,dahod
Dakshin Bastar Dantewada,d,chhattisgarh,CT,dantewada
Dakshin Dinajpur,d,west_bengal,WB,dakshin_dinajpur
Dakshina Kannada,d,karnataka,KA,dakshina_kannada
Daman,d,daman_and_diu,DD,daman
Damoh,d,madhya_pradesh,MP,damoh
Dang,d,gujarat,GJ,the_dangs
Darbhanga,d,bihar,BR,darbhanga
Darjeeling,d,west_bengal,WB,darjiling
Darrang,d,assam,AS,darrang
Datia,d,madhya_pradesh,MP,datia
Dausa,d,rajasthan,RJ,dausa
Davanagere,d,karnataka,KA,davanagere
Dehradun,d,odisha,OR,debagarh
Delhi,u,nct_of_delhi,DL,nct_of_delhi
Deogarh,d,uttarakhand,UT,dehradun
Deoghar,d,jharkhand,JH,deoghar
Deoria,d,uttar_pradesh,UP,deoria
Devbhumi Dwarka,d,gujarat,GJ,devbhumi_dwarka
Dewas,d,madhya_pradesh,MP,dewas
Dhalai,d,tripura,TR,dhalai
Dhamtari,d,chhattisgarh,CT,dhamtari
Dhanbad,d,jharkhand,JH,dhanbad
Dhar,d,madhya_pradesh,MP,dhar
Dharmapuri,d,tamil_nadu,TN,dharmapuri
Dharwad,d,karnataka,KA,dharwad
Dhemaji,d,rajasthan,RJ,dhaulpur
Dhenkanal,d,assam,AS,dhemaji
Dholpur,d,odisha,OR,dhenkanal
Dhubri,d,assam,AS,dhubri
Dhule,d,maharashtra,MH,dhule
Dibrugarh,d,assam,AS,dibrugarh
Dima Hasao,d,assam,AS,dima_hasao
Dimapur,d,nagaland,NL,dimapur
Dindigul,d,tamil_nadu,TN,dindigul
Dindori,d,madhya_pradesh,MP,dindori
Diu,d,daman_and_diu,DD,diu
Doda,d,jammu_and_kashmir,JK,doda
Dumka,d,jharkhand,JH,dumka
Dungarpur,d,rajasthan,RJ,dungarpur
Durg,d,chhattisgarh,CT,durg
East Champaran,d,bihar,BR,purba_champaran
East Delhi,d,nct_of_delhi,DL,west
East Garo Hills,d,meghalaya,ML,east_garo_hills
East Godavari,d,andhra_pradesh,AD,east_godavari
East Jaintia Hills,d,meghalaya,ML,jaintia_hills
East Kameng,d,arunachal_pradesh,AR,east_kameng
East Khasi Hills,d,meghalaya,ML,east_khasi_hills
East Siang,d,arunachal_pradesh,AR,east_siang
East Sikkim,d,sikkim,SK,east_sikkim
East Singhbhum,d,jharkhand,JH,purbi_singhbhum
Ernakulam,d,kerala,KL,ernakulam
Erode,d,tamil_nadu,TN,erode
