engtype_2,district,state,statecode
District,east_godavari,andhra_pradesh,AD
District,nicobar_islands,andaman_and_nicobar,AN
District,guntur,andhra_pradesh,AD
District,karimganj,assam,AS
District,krishna,andhra_pradesh,AD
District,rohtak,haryana,HR
District,chittoor,andhra_pradesh,AD
District,east_kameng,arunachal_pradesh,AR
District,kurnool,andhra_pradesh,AD
District,east_siang,arunachal_pradesh,AR
District,mumbai_city,maharashtra,MH
District,prakasam,andhra_pradesh,AD
District,nellore,andhra_pradesh,AD
District,buxar,bihar,BR
District,kurung_kumey,arunachal_pradesh,AR
District,srikakulam,andhra_pradesh,AD
District,tirap,arunachal_pradesh,AR
District,hardwar,uttarakhand,UT
District,ganderbal,jammu_and_kashmir,JK
District,changlang,arunachal_pradesh,AR
District,nainital,uttarakhand,UT
District,sheohar,bihar,BR
District,anjaw,arunachal_pradesh,AR
District,visakhapatnam,andhra_pradesh,AD
District,vizianagaram,andhra_pradesh,AD
District,dibang_valley,arunachal_pradesh,AR
District,upper_siang,arunachal_pradesh,AR
District,lakhimpur,assam,AS
District,jehanabad,bihar,BR
District,upper_subansiri,arunachal_pradesh,AR
District,muktsar,punjab,PB
District,morigaon,assam,AS
District,west_kameng,arunachal_pradesh,AR
District,baramulla,jammu_and_kashmir,JK
District,kokrajhar,assam,AS
District,west_siang,arunachal_pradesh,AR
District,baksa,assam,AS
District,doda,jammu_and_kashmir,JK
District,cachar,assam,AS
District,chirang,assam,AS
District,darrang,assam,AS
District,dhubri,assam,AS
District,dibrugarh,assam,AS
District,karbi_anglong,assam,AS
District,goalpara,assam,AS
District,kamrup_metropolitan,assam,AS
District,golaghat,assam,AS
District,hailakandi,assam,AS
District,jorhat,assam,AS
District,kamrup,assam,AS
District,nagaon,assam,AS
District,nalbari,assam,AS
District,sivasagar,assam,AS
District,sonitpur,assam,AS
District,bhojpur,bihar,BR
District,tinsukia,assam,AS
District,udalguri,assam,AS
District,banka,bihar,BR
District,araria,bihar,BR
District,arwal,bihar,BR
District,aurangabad,bihar,BR
District,begusarai,bihar,BR
District,jammu,jammu_and_kashmir,JK
District,dhamtari,chhattisgarh,CT
District,bhagalpur,bihar,BR
District,kaimur,bihar,BR
District,darbhanga,bihar,BR
District,jamui,bihar,BR
District,chandigarh,chandigarh,CH
District,gaya,bihar,BR
District,gopalganj,bihar,BR
District,madhepura,bihar,BR
District,east_garo_hills,meghalaya,ML
District,nawada,bihar,BR
District,katihar,bihar,BR
District,khagaria,bihar,BR
District,kishanganj,bihar,BR
District,lakhisarai,bihar,BR
District,fatehabad,haryana,HR
District,madhubani,bihar,BR
District,munger,bihar,BR
District,gurgaon,haryana,HR
District,muzaffarpur,bihar,BR
District,nalanda,bihar,BR
District,pashchim_champaran,bihar,BR
District,purba_champaran,bihar,BR
District,patna,bihar,BR
District,saharsa,bihar,BR
District,purnia,bihar,BR
District,rohtas,bihar,BR
District,longding,arunachal_pradesh,AR
District,samastipur,bihar,BR
District,saran,bihar,BR
District,sheikhpura,bihar,BR
District,sitamarhi,bihar,BR
District,siwan,bihar,BR
District,kathua,jammu_and_kashmir,JK
District,supaul,bihar,BR
District,vaishali,bihar,BR
District,ramban,jammu_and_kashmir,JK
District,anantnag,jammu_and_kashmir,JK
District,shahid_bhagat_singh_nagar,punjab,PB
District,balrampur,chhattisgarh,CT
District,bijapur,chhattisgarh,CT
District,bastar,chhattisgarh,CT
District,diu,daman_and_diu,DD
District,dantewada,chhattisgarh,CT
District,durg,chhattisgarh,CT
District,north_goa,goa,GA
District,janjgir-champa,chhattisgarh,CT
District,kaithal,haryana,HR
District,jashpur,chhattisgarh,CT
District,bandipore,jammu_and_kashmir,JK
District,korba,chhattisgarh,CT
District,reasi,jammu_and_kashmir,JK
District,gandhinagar,gujarat,GJ
District,koriya,chhattisgarh,CT
District,mahasamund,chhattisgarh,CT
District,samba,jammu_and_kashmir,JK
District,mungeli,chhattisgarh,CT
District,narayanpur,chhattisgarh,CT
District,karnal,haryana,HR
District,raigarh,chhattisgarh,CT
District,raipur,chhattisgarh,CT
District,shupiyan,jammu_and_kashmir,JK
District,daman,daman_and_diu,DD
District,rajnandgaon,chhattisgarh,CT
District,surguja,chhattisgarh,CT
District,srinagar,jammu_and_kashmir,JK
District,dadra_and_nagar_haveli,dadra_and_nagar_haveli,DN
District,deoghar,jharkhand,JH
District,south_goa,goa,GA
District,anand,gujarat,GJ
District,udhampur,jammu_and_kashmir,JK
District,ahmadabad,gujarat,GJ
District,amreli,gujarat,GJ
District,banas_kantha,gujarat,GJ
District,kurukshetra,haryana,HR
District,bharuch,gujarat,GJ
District,bhavnagar,gujarat,GJ
District,dahod,gujarat,GJ
District,panchkula,haryana,HR
District,kachchh,gujarat,GJ
District,panipat,haryana,HR
District,narmada,gujarat,GJ
District,pithoragarh,uttarakhand,UT
District,kheda,gujarat,GJ
District,jamnagar,gujarat,GJ
District,junagadh,gujarat,GJ
District,rewari,haryana,HR
District,mahesana,gujarat,GJ
District,pulwama,jammu_and_kashmir,JK
District,navsari,gujarat,GJ
District,panch_mahals,gujarat,GJ
District,bilaspur,himachal_pradesh,HP
District,sirmaur,himachal_pradesh,HP
District,patan,gujarat,GJ
District,vadodara,gujarat,GJ
District,porbandar,gujarat,GJ
District,sabar_kantha,gujarat,GJ
District,tapi,gujarat,GJ
District,rajkot,gujarat,GJ
District,dhanbad,jharkhand,JH
District,surat,gujarat,GJ
District,bhiwani,haryana,HR
District,surendranagar,gujarat,GJ
District,mandi,himachal_pradesh,HP
District,the_dangs,gujarat,GJ
District,faridabad,haryana,HR
District,valsad,gujarat,GJ
District,ambala,haryana,HR
District,solan,himachal_pradesh,HP
District,hisar,haryana,HR
District,jhajjar,haryana,HR
District,jind,haryana,HR
District,mahendragarh,haryana,HR
District,mewat,haryana,HR
District,palwal,haryana,HR
District,sirsa,haryana,HR
District,sonipat,haryana,HR
District,yamunanagar,haryana,HR
District,una,himachal_pradesh,HP
District,garhwa,jharkhand,JH
District,chamba,himachal_pradesh,HP
District,hamirpur,himachal_pradesh,HP
District,kullu,himachal_pradesh,HP
District,kangra,himachal_pradesh,HP
District,kinnaur,himachal_pradesh,HP
District,tehri_garhwal,uttarakhand,UT
District,shimla,himachal_pradesh,HP
District,lahul_and_spiti,himachal_pradesh,HP
District,badgam,jammu_and_kashmir,JK
District,kishtwar,jammu_and_kashmir,JK
District,kupwara,jammu_and_kashmir,JK
District,bokaro,jharkhand,JH
District,chatra,jharkhand,JH
District,dumka,jharkhand,JH
District,jamtara,jharkhand,JH
District,khunti,jharkhand,JH
District,kodarma,jharkhand,JH
District,giridih,jharkhand,JH
District,godda,jharkhand,JH
District,kozhikode,kerala,KL
District,gumla,jharkhand,JH
District,hazaribagh,jharkhand,JH
District,palamu,jharkhand,JH
District,saraikela-kharsawan,jharkhand,JH
District,mumbai_suburban,maharashtra,MH
District,latehar,jharkhand,JH
District,lohardaga,jharkhand,JH
District,pakur,jharkhand,JH
District,pashchimi_singhbhum,jharkhand,JH
District,purbi_singhbhum,jharkhand,JH
District,ranchi,jharkhand,JH
District,sahibganj,jharkhand,JH
District,kiphire,nagaland,NL
District,simdega,jharkhand,JH
District,kolasib,mizoram,MZ
District,ashoknagar,madhya_pradesh,MP
District,bagalkot,karnataka,KA
District,bangalore,karnataka,KA
District,bangalore_rural,karnataka,KA
District,chikballapura,karnataka,KA
District,belgaum,karnataka,KA
District,bellary,karnataka,KA
District,malappuram,kerala,KL
District,bidar,karnataka,KA
District,haveri,karnataka,KA
District,chamrajnagar,karnataka,KA
District,chikmagalur,karnataka,KA
District,kodagu,karnataka,KA
District,chitradurga,karnataka,KA
District,ramanagara,karnataka,KA
District,dakshina_kannada,karnataka,KA
District,kolar,karnataka,KA
District,davanagere,karnataka,KA
District,dharwad,karnataka,KA
District,gadag,karnataka,KA
District,raichur,karnataka,KA
District,gulbarga,karnataka,KA
District,thiruvananthapuram,kerala,KL
District,hassan,karnataka,KA
District,lakshadweep,lakshadweep,LD
District,koppal,karnataka,KA
District,mandya,karnataka,KA
District,mysore,karnataka,KA
District,shimoga,karnataka,KA
District,thrissur,kerala,KL
District,tumkur,karnataka,KA
District,udupi,karnataka,KA
District,yadgir,karnataka,KA
District,uttara_kannada,karnataka,KA
District,alappuzha,kerala,KL
District,idukki,kerala,KL
District,ernakulam,kerala,KL
District,wayanad,kerala,KL
District,kannur,kerala,KL
District,kottayam,kerala,KL
District,kasaragod,kerala,KL
District,kollam,kerala,KL
District,burhanpur,madhya_pradesh,MP
District,palakkad,kerala,KL
District,pathanamthitta,kerala,KL
District,alirajpur,madhya_pradesh,MP
District,anuppur,madhya_pradesh,MP
District,harda,madhya_pradesh,MP
District,balaghat,madhya_pradesh,MP
District,barwani,madhya_pradesh,MP
District,betul,madhya_pradesh,MP
District,shajapur,madhya_pradesh,MP
District,bhind,madhya_pradesh,MP
District,bhopal,madhya_pradesh,MP
District,chhatarpur,madhya_pradesh,MP
District,peren,nagaland,NL
District,chhindwara,madhya_pradesh,MP
District,east_khasi_hills,meghalaya,ML
District,damoh,madhya_pradesh,MP
District,datia,madhya_pradesh,MP
District,udham_singh_nagar,uttarakhand,UT
District,dhar,madhya_pradesh,MP
District,dewas,madhya_pradesh,MP
District,phek,nagaland,NL
District,hoshangabad,madhya_pradesh,MP
District,east_nimar,madhya_pradesh,MP
District,dindori,madhya_pradesh,MP
District,jhabua,madhya_pradesh,MP
District,narsimhapur,madhya_pradesh,MP
District,indore,madhya_pradesh,MP
District,guna,madhya_pradesh,MP
District,gwalior,madhya_pradesh,MP
District,jabalpur,madhya_pradesh,MP
District,mandla,madhya_pradesh,MP
District,katni,madhya_pradesh,MP
District,rajgarh,madhya_pradesh,MP
District,ratlam,madhya_pradesh,MP
District,mandsaur,madhya_pradesh,MP
District,morena,madhya_pradesh,MP
District,sheopur,madhya_pradesh,MP
District,neemuch,madhya_pradesh,MP
District,sidhi,madhya_pradesh,MP
District,panna,madhya_pradesh,MP
District,umaria,madhya_pradesh,MP
District,raisen,madhya_pradesh,MP
District,tuensang,nagaland,NL
District,rewa,madhya_pradesh,MP
District,singrauli,madhya_pradesh,MP
District,sagar,madhya_pradesh,MP
District,satna,madhya_pradesh,MP
District,bishnupur,manipur,MN
District,sehore,madhya_pradesh,MP
District,wokha,nagaland,NL
District,seoni,madhya_pradesh,MP
District,lawangtlai,mizoram,MZ
District,shahdol,madhya_pradesh,MP
District,saiha,mizoram,MZ
District,shivpuri,madhya_pradesh,MP
District,serchhip,mizoram,MZ
District,tikamgarh,madhya_pradesh,MP
District,dimapur,nagaland,NL
District,ujjain,madhya_pradesh,MP
District,kohima,nagaland,NL
District,vidisha,madhya_pradesh,MP
District,mokokchung,nagaland,NL
District,west_nimar,madhya_pradesh,MP
District,ahmadnagar,maharashtra,MH
District,jaintia_hills,meghalaya,ML
District,akola,maharashtra,MH
District,gondiya,maharashtra,MH
District,amravati,maharashtra,MH
District,north_garo_hills,meghalaya,ML
District,aurangabad,maharashtra,MH
District,mon,nagaland,NL
District,bhandara,maharashtra,MH
District,ri_bhoi,meghalaya,ML
District,bid,maharashtra,MH
District,zunheboto,nagaland,NL
District,buldana,maharashtra,MH
District,south_garo_hills,meghalaya,ML
District,chandrapur,maharashtra,MH
District,hingoli,maharashtra,MH
District,dhule,maharashtra,MH
District,thane,maharashtra,MH
District,garhchiroli,maharashtra,MH
District,jalgaon,maharashtra,MH
District,west_garo_hills,meghalaya,ML
District,jalna,maharashtra,MH
District,west_khasi_hills,meghalaya,ML
District,maldah,west_bengal,WB
District,latur,maharashtra,MH
District,kolhapur,maharashtra,MH
District,west,nct_of_delhi,DL
District,nagpur,maharashtra,MH
District,purba_medinipur,west_bengal,WB
District,wardha,maharashtra,MH
District,murshidabad,west_bengal,WB
District,bhadrak,odisha,OR
District,nanded,maharashtra,MH
District,nandurbar,maharashtra,MH
District,bauda,odisha,OR
District,nashik,maharashtra,MH
District,west_tripura,tripura,TR
District,osmanabad,maharashtra,MH
District,chandel,manipur,MN
District,solapur,maharashtra,MH
District,churachandpur,manipur,MN
District,parbhani,maharashtra,MH
District,imphal_east,manipur,MN
District,pune,maharashtra,MH
District,raigarh,maharashtra,MH
District,ratnagiri,maharashtra,MH
District,sangli,maharashtra,MH
District,imphal_west,manipur,MN
District,satara,maharashtra,MH
District,tamenglong,manipur,MN
District,sindhudurg,maharashtra,MH
District,washim,maharashtra,MH
District,thoubal,manipur,MN
District,yavatmal,maharashtra,MH
District,senapati,manipur,MN
District,ukhrul,manipur,MN
District,aizawl,mizoram,MZ
District,champhai,mizoram,MZ
District,lunglei,mizoram,MZ
District,mamit,mizoram,MZ
District,anugul,odisha,OR
District,balangir,odisha,OR
District,baleshwar,odisha,OR
District,bargarh,odisha,OR
District,dhenkanal,odisha,OR
District,firozpur,punjab,PB
District,gurdaspur,punjab,PB
District,cuttack,odisha,OR
District,debagarh,odisha,OR
District,gajapati,odisha,OR
District,jajapur,odisha,OR
District,ganjam,odisha,OR
District,jharsuguda,odisha,OR
District,jagatsinghapur,odisha,OR
District,fatehgarh_sahib,punjab,PB
District,kalahandi,odisha,OR
District,malkangiri,odisha,OR
District,kandhamal,odisha,OR
District,nuapada,odisha,OR
District,kendrapara,odisha,OR
District,puducherry,puducherry,PY
District,yanam,puducherry,PY
District,kendujhar,odisha,OR
District,amritsar,punjab,PB
District,khordha,odisha,OR
District,barnala,punjab,PB
District,koraput,odisha,OR
District,mayurbhanj,odisha,OR
District,fazilka,punjab,PB
District,nabarangapur,odisha,OR
District,nayagarh,odisha,OR
District,puri,odisha,OR
District,bathinda,punjab,PB
District,rayagada,odisha,OR
District,faridkot,punjab,PB
District,sambalpur,odisha,OR
District,subarnapur,odisha,OR
District,sundargarh,odisha,OR
District,karaikal,puducherry,PY
District,mahe,puducherry,PY
District,mansa,punjab,PB
District,moga,punjab,PB
District,hoshiarpur,punjab,PB
District,jalandhar,punjab,PB
District,kapurthala,punjab,PB
District,ludhiana,punjab,PB
District,patiala,punjab,PB
District,rupnagar,punjab,PB
District,sangrur,punjab,PB
District,tarn_taran,punjab,PB
District,ajmer,rajasthan,RJ
District,banswara,rajasthan,RJ
District,alwar,rajasthan,RJ
District,baran,rajasthan,RJ
District,bundi,rajasthan,RJ
District,barmer,rajasthan,RJ
District,ganganagar,rajasthan,RJ
District,bharatpur,rajasthan,RJ
District,dhaulpur,rajasthan,RJ
District,bhilwara,rajasthan,RJ
District,dungarpur,rajasthan,RJ
District,bikaner,rajasthan,RJ
District,dausa,rajasthan,RJ
District,hanumangarh,rajasthan,RJ
District,chittaurgarh,rajasthan,RJ
District,churu,rajasthan,RJ
District,jhunjhunun,rajasthan,RJ
District,chennai,tamil_nadu,TN
District,dharmapuri,tamil_nadu,TN
District,jaipur,rajasthan,RJ
District,bageshwar,uttarakhand,UT
District,jaisalmer,rajasthan,RJ
