type,state,statecode,covid19Name,apiName,district
District,madhya_pradesh,MP,Agar Malwa,agar_malwa,agar_malwa
District,uttar_pradesh,UP,Agra,agra,agra
District,gujarat,GJ,Ahmedabad,ahmadabad,ahmadabad
District,maharashtra,MH,Ahmednagar,ahmadnagar,ahmadnagar
District,mizoram,MZ,Aizawl,aizawl,aizawl
District,rajasthan,RJ,Ajmer,ajmer,ajmer
District,maharashtra,MH,Akola,akola,akola
District,kerala,KL,Alappuzha,alappuzha,alappuzha
District,uttar_pradesh,UP,Aligarh,aligarh,aligarh
District,west_bengal,WB,Alipurduar,alipurduar,alipurduar
District,madhya_pradesh,MP,Alirajpur,alirajpur,alirajpur
District,uttarakhand,UT,Almora,almora,almora
District,rajasthan,RJ,Alwar,alwar,alwar
District,haryana,HR,Ambala,ambala,ambala
District,uttar_pradesh,UP,Ambedkar Nagar,ambedkar_nagar,ambedkar_nagar
District,uttar_pradesh,UP,Amethi,amethi,amethi
District,maharashtra,MH,Amravati,amravati,amravati
District,gujarat,GJ,Amreli,amreli,amreli
District,punjab,PB,Amritsar,amritsar,amritsar
District,uttar_pradesh,UP,Amroha,amroha,amroha
District,gujarat,GJ,Anand,anand,anand
District,andhra_pradesh,AD,Anantapur,anantapur,anantapur
District,jammu_and_kashmir,JK,Anantnag,anantnag,anantnag
District,arunachal_pradesh,AR,Angul,anjaw,anjaw
District,odisha,OR,Anjaw,anugul,anugul
District,madhya_pradesh,MP,Anuppur,anuppur,anuppur
District,bihar,BR,Araria,araria,araria
District,gujarat,GJ,Aravalli,aravalli,aravalli
District,tamil_nadu,TN,Ariyalur,ariyalur,ariyalur
District,bihar,BR,Arwal,arwal,arwal
District,madhya_pradesh,MP,Ashoknagar,ashoknagar,ashoknagar
District,uttar_pradesh,UP,Auraiya,auraiya,auraiya
District,bihar,BR,Aurangabad,aurangabadbr,aurangabadbr
District,maharashtra,MH,Aurangabad,aurangabad,aurangabad
District,uttar_pradesh,UP,Ayodhya,faizabad,faizabad
District,uttar_pradesh,UP,Azamgarh,azamgarh,azamgarh
District,karnataka,KA,Bagalkote,bagalkot,bagalkot
District,uttarakhand,UT,Bageshwar,bageshwar,bageshwar
District,uttar_pradesh,UP,Baghpat,baghpat,baghpat
District,uttar_pradesh,UP,Bahraich,bahraich,bahraich
District,assam,AS,Baksa,baksa,baksa
District,madhya_pradesh,MP,Balaghat,balaghat,balaghat
District,odisha,OR,Balangir,balangir,balangir
District,odisha,OR,Balasore,baleshwar,baleshwar
District,karnataka,KA,Ballari,bellary,bellary
District,uttar_pradesh,UP,Ballia,ballia,ballia
District,chhattisgarh,CT,Balod,balod,balod
District,chhattisgarh,CT,Baloda Bazar,baloda_bazar,baloda_bazar
District,chhattisgarh,CT,Balrampur,balrampur,balrampur
District,uttar_pradesh,UP,Balrampur,balrampurct,balrampurct
District,chhattisgarh,CT,Bametara,bemetara,bemetara
District,gujarat,GJ,Banaskantha,banas_kantha,banas_kantha
District,uttar_pradesh,UP,Banda,banda,banda
District,jammu_and_kashmir,JK,Bandipora,bandipore,bandipore
District,bihar,BR,Banka,banka,banka
District,west_bengal,WB,Bankura,bankura,bankura
District,rajasthan,RJ,Banswara,banswara,banswara
District,uttar_pradesh,UP,Barabanki,barabanki,barabanki
District,jammu_and_kashmir,JK,Baramulla,baramulla,baramulla
District,rajasthan,RJ,Baran,baran,baran
District,uttar_pradesh,UP,Bareilly,bareilly,bareilly
District,odisha,OR,Bargarh,bargarh,bargarh
District,rajasthan,RJ,Barmer,barmer,barmer
District,punjab,PB,Barnala,barnala,barnala
District,assam,AS,Barpeta,barpeta,barpeta
District,madhya_pradesh,MP,Barwani,barwani,barwani
District,chhattisgarh,CT,Bastar,bastar,bastar
District,uttar_pradesh,UP,Basti,basti,basti
District,punjab,PB,Bathinda,bathinda,bathinda
District,maharashtra,MH,Beed,bid,bid
District,bihar,BR,Begusarai,begusarai,begusarai
District,karnataka,KA,Belagavi,belgaum,belgaum
District,karnataka,KA,Bengaluru Rural,bangalore_rural,bangalore_rural
District,karnataka,KA,Bengaluru Urban,bangalore,bangalore
District,madhya_pradesh,MP,Betul,betul,betul
District,uttar_pradesh,UP,Bhadohi,sant_ravi_das_nagar,sant_ravi_das_nagar
District,telangana,TG,Bhadradri Kothagudem,bhadradri_kothagudem,bhadradri_kothagudem
District,odisha,OR,Bhadrak,bhadrak,bhadrak
District,bihar,BR,Bhagalpur,bhagalpur,bhagalpur
District,maharashtra,MH,Bhandara,bhandara,bhandara
District,rajasthan,RJ,Bharatpur,bharatpur,bharatpur
District,gujarat,GJ,Bharuch,bharuch,bharuch
District,gujarat,GJ,Bhavnagar,bhavnagar,bhavnagar
District,rajasthan,RJ,Bhilwara,bhilwara,bhilwara
District,madhya_pradesh,MP,Bhind,bhind,bhind
District,haryana,HR,Bhiwani,bhiwani,bhiwani
District,bihar,BR,Bhojpur,bhojpur,bhojpur
District,madhya_pradesh,MP,Bhopal,bhopal,bhopal
