engtype_1,state,statecode
Union Territory,ladakh,LA
Union Territory,dadra_and_nagar_haveli,DN
Union Territory,jammu_and_kashmir,JK
Union Territory,andaman_and_nicobar,AN
State,andhra_pradesh,AP
State,maharashtra,MH
State,manipur,MN
State,sikkim,SK
State,arunachal_pradesh,AR
Union Territory,daman_and_diu,DD
State,goa,GA
State,assam,AS
State,bihar,BR
Union Territory,chandigarh,CH
State,gujarat,GJ
State,chhattisgarh,CT
State,tamil_nadu,TN
State,meghalaya,ML
State,mizoram,MZ
State,nagaland,NL
State,haryana,HR
Union Territory,himachal_pradesh,HP
State,jharkhand,JH
State,karnataka,KA
State,kerala,KL
Union Territory,lakshadweep,LD
State,madhya_pradesh,MP
Union Territory,nct_of_delhi,DL
State,odisha,OR
Union Territory,puducherry,PY
State,punjab,PB
State,rajasthan,RJ
State,telangana,TG
State,tripura,TR
State,uttar_pradesh,UP
State,uttarakhand,UT
State,west_bengal,WB
